sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.382_3.588_1.994_6.206_0.0_13.271,0.03076909929,0.02554610665,6.51596664,0.03491645746,0.5724905729,0.01090108324,0.5805438757,0.0102695208,0.5692192912,0.01092164312,8.359492997,0.3542746305
airFoil2D_SST_31.68_0.424_0.273_4.301_1.0_11.616,0.0239302327,0.03307359877,4.894588265,0.03639167375,0.06468659639,0.009473801591,0.06554426253,0.009751523845,0.06675511599,0.009451651946,13.33646687,0.1154705286
airFoil2D_SST_31.803_7.291_3.243_6.962_0.0_10.641,0.05068918243,0.03184207344,20.52546178,0.09217031819,1.121215582,0.01387587376,1.125170112,0.01214807946,1.10050714,0.01345183328,2.670476495,0.5464918017
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,0.0337160148,0.04881852083,7.588292324,0.04195136549,0.1465724707,0.01159475464,0.1321945935,0.01106999628,0.1494156718,0.01156413369,4.850474253,0.05106282234
airFoil2D_SST_32.499_12.136_1.194_6.108_1.0_8.121,0.01820179368,0.01419824853,31.61772135,0.1131825617,1.347456813,0.02022341266,1.342278481,0.02078299038,1.349646211,0.01973366365,0.901384701,0.3909595609
airFoil2D_SST_32.642_-0.627_0.31_3.451_0.0_8.252,0.02730636282,0.02626663941,5.039643105,0.03803839216,-0.04097855091,0.008754843846,-0.04894922301,0.009057257324,-0.04785453156,0.008720623329,25.10275008,0.0159792304
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,0.03556370645,0.0488068461,9.555031262,0.0521714851,0.4289627969,0.01183761377,0.404186666,0.01321400143,0.4176615775,0.01192494482,5.945548443,0.2485428154
airFoil2D_SST_32.677_5.679_0.493_6.223_1.0_9.86,0.01302156088,0.01664505917,5.295286906,0.04878091056,0.670322299,0.01062863134,0.6579273343,0.01001852099,0.6611272693,0.01061729621,4.073650084,0.3681508303
airFoil2D_SST_32.706_8.859_2.638_5.49_0.0_18.856,0.02810969102,0.03065034342,9.558386925,0.06751995337,1.07738471,0.01724271104,1.050794363,0.01681380346,1.055125594,0.01774419099,1.676031662,0.3095161319
airFoil2D_SST_32.717_11.377_2.913_6.33_1.0_13.804,0.02061739825,0.02170532619,16.32972673,0.07678469294,1.3751508,0.01927478425,1.396233797,0.0215994101,1.386225343,0.02006067149,1.118167318,0.2963149548
airFoil2D_SST_32.902_8.203_2.59_6.258_1.0_14.519,0.02025022043,0.01997437375,8.320514366,0.05771324679,1.082113147,0.01484558918,1.07600224,0.01343463175,1.079285979,0.01491541509,1.852430082,0.3272733688
airFoil2D_SST_32.966_-0.849_3.413_3.675_1.0_19.214,0.06917828534,0.08983939199,12.98309523,0.09429857689,0.1283083558,0.01129679289,0.09253256023,0.01283638552,0.1367206424,0.01144481823,6.744904294,0.0621548295
airFoil2D_SST_33.137_-2.653_2.78_5.876_1.0_14.328,0.04421683645,0.04663939694,10.71128821,0.07940657709,-0.01913517714,0.01026647538,-0.00289486628,0.01275204401,-0.02958230674,0.01020305511,11.70992586,0.002137422562
airFoil2D_SST_33.163_-1.909_2.306_3.054_0.0_11.764,0.05616246723,0.0510780981,9.417163879,0.08929767226,-0.06474387646,0.009574206546,-0.07230070978,0.01245631929,-0.06056886166,0.009507825598,15.80864944,0.05895590782
airFoil2D_SST_33.187_10.15_2.61_7.828_0.0_5.27,0.01601934179,0.04058040896,31.58442197,0.351249062,1.362980366,0.01842194609,1.354115367,0.02567868493,1.322238684,0.01932104491,0.7165012786,0.472779572
airFoil2D_SST_33.191_2.869_2.039_7.426_1.0_13.149,0.03815840254,0.02898023505,9.430698187,0.04249787919,0.5301947594,0.01060615201,0.5432479382,0.01004573982,0.5230796933,0.01059215888,8.345252499,0.2940526009
