sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.812_1.334_0.371_3.287_0.0_19.548,3.979764245,3.880476392,1177.19679,5.158880189,0.03527075052,0.01418326423,0.02839121781,0.02184367739,0.1494156718,0.01156413369,0.0003783659481,0.2501403093
airFoil2D_SST_31.863_-1.58_1.567_6.956_10.028,4.751237847,3.101334665,1150.187154,5.500069388,0.3181792796,0.01433211286,0.02845676988,0.01983753964,0.05126406252,0.009225948714,0.0003783659481,0.4702863395
airFoil2D_SST_32.137_12.122_4.854_5.202_9.247,0.8178237382,0.8947429784,1629.710094,7.078873474,1.497270823,0.02246972919,0.02256378159,0.02553343959,1.674978018,0.02423187718,0.0003783659481,1.09569037
airFoil2D_SST_32.432_14.036_6.578_2.722_5.928,0.883591566,0.9908787214,2266.923186,8.205494357,1.608669043,0.02450785041,0.02121447772,0.02612758055,1.846978068,0.03541012481,0.0003783659481,1.212349653
airFoil2D_SST_32.66_1.2_3.249_6.689_1.0_18.317,3.749636708,3.736057078,1186.534602,5.159415336,0.471978128,0.01566863246,0.0269064717,0.02065591514,0.4176615775,0.01192494482,0.0003783659481,0.5449774265
airFoil2D_SST_32.892_-0.128_5.528_3.635_15.155,3.779790099,3.596755477,1183.432278,5.300097041,0.5973894,0.01605681702,0.02671009861,0.01963711344,0.5279270411,0.01148022804,0.0003783659481,0.8041950464
airFoil2D_SST_33.012_6.968_1.841_4.84_5.618,0.8655484012,0.9416239065,1402.649991,8.038722617,0.7596184015,0.01297779661,0.02328532189,0.02207463235,0.9567072988,0.01227645855,0.0003783659481,0.6693095565
airFoil2D_SST_33.33_14.375_1.036_3.451_12.655,0.8143512032,0.8765388687,1534.736171,6.65229501,1.166344643,0.02024944685,0.02021187358,0.02479249984,1.477641344,0.02493859828,0.0003783659481,0.1078989506
airFoil2D_SST_33.984_-1.17_6.811_0.0_14.338,3.903027884,3.405600034,1176.745827,5.384125698,0.5221008658,0.01654138044,0.02526246198,0.01783105545,-0.1185160354,0.009997952729,0.0003783659481,0.7056747079
airFoil2D_SST_34.806_8.99_2.295_5.593_1.0_19.795,1.999536828,1.435487921,929.5078912,4.137560317,1.145536184,0.01751863398,0.02109531686,0.02130143158,1.025509834,0.01789497398,0.0003783659481,0.4542790055
airFoil2D_SST_35.44_14.039_5.196_1.691_9.27,0.8303968021,0.9369731495,1659.764272,6.54932737,1.4569242,0.02289541438,0.01791023649,0.02196969464,1.787724257,0.02860809118,0.0003783659481,0.7672547102
airFoil2D_SST_35.49_10.54_0.884_6.154_1.0_10.173,0.8350113824,0.8896120326,1409.004647,6.666541227,1.117450476,0.01744416915,0.01912931167,0.02055391856,1.184661388,0.01546059549,0.0003783659481,0.2315528393
airFoil2D_SST_35.507_5.777_1.428_6.645_0.0_10.474,1.869362815,1.092416026,891.5549247,4.751096886,0.5885626674,0.01248085219,0.02076489851,0.01887716167,0.765158236,0.01096434426,0.0003783659481,0.4187919497
airFoil2D_SST_35.516_-1.874_3.784_5.907_1.0_18.714,3.320621757,3.168812591,1176.052002,5.55799281,0.3233509362,0.01553685777,0.0237203408,0.01627985574,0.1334129274,0.01132505853,0.0003783659481,0.4861413538
airFoil2D_SST_36.155_8.69_3.296_7.636_1.0_8.571,0.861302496,0.907279238,1178.770682,6.214192626,1.322116256,0.0183206629,0.01901037619,0.01915631443,1.273425817,0.01437043864,0.0003783659481,0.8597034812
airFoil2D_SST_37.191_5.448_2.812_0.0_12.933,2.147164549,1.173930678,953.5637134,4.449918033,0.5307962298,0.01188750286,0.01916288584,0.01717774197,0.5829787254,0.01075567957,0.0003783659481,0.2438015938
airFoil2D_SST_37.251_6.299_1.193_5.155_17.506,2.348163932,1.38359543,995.3883652,4.088517872,0.5868338943,0.01090917643,0.01908434741,0.01754203252,0.7558131814,0.01295448467,0.0003783659481,0.3314896524
airFoil2D_SST_37.291_-2.407_6.767_0.0_6.039,3.08806491,1.599309362,1018.249416,6.325339284,0.5330198407,0.01584506966,0.02088504098,0.01420512889,-0.2631423175,0.008393038064,0.0003783659481,0.8498067856
airFoil2D_SST_38.268_-1.682_6.363_5.449_13.343,2.959125611,2.553582586,1212.880797,5.34504199,0.6871598363,0.01534025185,0.01999170706,0.01383347344,0.5399146676,0.01120305341,0.0003783659481,1.103668332
airFoil2D_SST_38.731_9.437_2.626_6.388_1.0_14.922,1.087640398,0.9616371238,870.6252545,4.879564091,1.253539562,0.01726128533,0.01662927493,0.01712577417,1.197959661,0.01623897441,0.0003783659481,0.5699179173
airFoil2D_SST_39.019_-2.224_0.696_4.875_13.154,3.160773522,2.430529935,1170.26191,5.561045615,0.046045959,0.01180310268,0.01932848804,0.01312540844,-0.1619052142,0.009600533172,0.0003783659481,0.0212726593
airFoil2D_SST_39.01_8.67_0.874_3.693_1.0_16.259,1.264968198,1.014252826,897.1891063,4.688977154,0.9875307083,0.01524350792,0.01667587832,0.01670371741,0.9394221306,0.01412782818,0.0003783659481,0.04378086329
airFoil2D_SST_39.204_6.325_3.319_3.611_8.695,1.06504321,0.9077507942,945.7584113,5.65442846,0.8757138252,0.01133128814,0.01679133251,0.01559886429,1.026914477,0.01168775372,0.0003783659481,0.8095980287
airFoil2D_SST_39.31_8.883_4.707_0.0_12.552,0.8973360179,0.8801406821,1080.47522,5.761434463,1.204244494,0.01887615956,0.01618097909,0.01636065729,0.939066112,0.01306656655,0.0003783659481,0.6038705707
airFoil2D_SST_39.45_1.609_0.12_5.114_1.0_18.279,2.850597329,2.452718113,1222.477521,4.753801293,0.1264196634,0.0114451563,0.01831164211,0.01424194127,0.1694190204,0.01082696859,0.0003783659481,0.1288581192
airFoil2D_SST_39.497_-4.94_0.473_3.219_1.0_16.447,2.562727432,2.160646377,1055.889277,6.215006994,-0.3333880305,0.01280936785,0.01965661906,0.01200006716,-0.4783183634,0.01114715543,0.0003783659481,0.4438036084
airFoil2D_SST_39.741_14.642_3.175_3.316_1.0_10.583,0.8578238468,0.8879815787,2126.955436,7.867989128,1.313487291,0.02074478567,0.01406936627,0.01760276593,1.618652463,0.02643126249,0.0003783659481,0.2094551325
airFoil2D_SST_40.386_12.852_6.446_2.175_5.908,0.9008601003,0.9682054285,2784.786951,8.985010841,1.626961827,0.02248539217,0.0140482774,0.01661067642,1.835400581,0.02533341199,0.0003783659481,1.0941118
airFoil2D_SST_40.539_-2.945_3.79_7.613_1.0_16.903,2.661863694,2.307354262,1157.828154,5.82473028,0.3177271485,0.01435630396,0.0183091443,0.01206686068,0.08598602563,0.0107203899,0.0003783659481,0.5894765258
airFoil2D_SST_40.676_-2.366_6.027_6.14_15.943,2.619885613,2.438752395,1234.187688,5.463603068,0.5981296301,0.01469411887,0.01795092598,0.01208810043,0.4300821126,0.01188758016,0.0003783659481,1.009642184
airFoil2D_SST_40.889_1.007_0.351_5.275_0.0_13.936,2.888715106,2.206870751,1224.346796,4.612194491,0.1447079182,0.01104705874,0.01695250906,0.01296392921,0.1372909248,0.009625558741,0.0003783659481,0.05866578221
airFoil2D_SST_41.044_-0.773_1.334_6.785_1.0_16.207,2.75510066,2.554363465,1237.974495,5.172756033,0.1746042371,0.01219207607,0.01732810214,0.01239156257,0.04865893349,0.01014598273,0.0003783659481,0.1504079103
airFoil2D_SST_41.46_9.803_3.08_4.075_9.069,0.84421651,0.8760894816,1884.06438,8.087818113,1.341578603,0.01785136014,0.01415007282,0.01481648069,1.347303033,0.01539843529,0.0003783659481,0.6964164376
airFoil2D_SST_41.987_6.655_3.211_6.639_1.0_12.572,1.537291864,0.9777912835,946.7416081,4.667717172,1.267062902,0.01523774024,0.01474805735,0.01381511055,1.020069599,0.01274521463,0.0003783659481,0.8200590909
airFoil2D_SST_42.34_1.874_0.761_3.136_1.0_10.022,2.962881023,1.535722133,1177.077829,4.127828851,0.1558829546,0.01033587009,0.01546159573,0.01227323059,0.2542215884,0.008876411244,0.0003783659481,0.1474772096
airFoil2D_SST_42.852_2.968_4.36_4.68_15.63,2.44083901,1.528917086,1185.823091,4.155822898,0.7463689446,0.01152989175,0.01507501211,0.01234247535,0.7634469271,0.01198183279,0.0003783659481,0.8005797863
airFoil2D_SST_43.007_1.079_3.697_3.071_1.0_12.272,2.637710082,2.10114194,1211.132989,4.864417821,0.3943606317,0.01226957701,0.0152865313,0.01183786243,0.3515321314,0.009593703784,0.0003783659481,0.328771323
airFoil2D_SST_43.071_6.024_6.914_5.245_8.861,0.9397006656,0.8580785454,1016.664859,6.017060347,1.358725309,0.01192887314,0.01403286587,0.01283460669,1.399172783,0.0149151627,0.0003783659481,1.632062554
airFoil2D_SST_43.22_2.151_0.231_7.553_1.0_8.814,2.892623409,1.194996367,1127.735875,4.275556602,0.3219804168,0.009744157083,0.01473965589,0.01179821603,0.2619852424,0.008633697405,0.0003783659481,0.1633050442
airFoil2D_SST_43.485_4.923_6.434_0.0_16.699,2.185683553,1.217058672,1087.272284,4.084468452,0.9024682045,0.01166952588,0.01429241709,0.01252350491,0.5136647224,0.01114593539,0.0003783659481,0.8432943821
airFoil2D_SST_43.677_-1.764_0.243_7.109_0.0_19.17,2.420294923,2.384175458,1254.079968,5.402441906,0.006668388844,0.01127584558,0.01564375684,0.01074105501,-0.1496569216,0.01087458897,0.0003783659481,0.05477821827
