sim_name,p_rel_l2,tau_rel_l2,p_mae,tau_mae,cl_head,cd_head,cl_int,cd_int,cl_true,cd_true,sym_residual,antisym_cl_gap
airFoil2D_SST_31.283_-4.156_0.919_6.98_14.32,0.131389861,0.05491305554,25.39898983,0.09735023689,-0.2595615983,0.01037246548,-0.3329533041,0.01305102091,-0.3210462332,0.01063739508,14.01854775,0.09557837248
airFoil2D_SST_31.468_13.713_3.339_3.51_6.993,0.01081136953,0.0146495866,28.54481198,0.1565960302,1.599630833,0.02504056133,1.651014686,0.03140986711,1.620353222,0.02925499529,0.9539685309,0.5070255995
airFoil2D_SST_31.534_-3.342_0.303_3.977_17.149,0.0933225932,0.06049244425,18.66796588,0.07701546198,-0.2488318682,0.01104123797,-0.3063140213,0.01389720477,-0.309717983,0.0112127848,9.534096694,0.04014164209
airFoil2D_SST_32.432_14.036_6.578_2.722_5.928,0.08049059229,0.06652425623,160.6305446,0.4960239832,1.794598699,0.02744575962,1.844666362,0.04971085489,1.846978068,0.03541012481,1.022385371,0.4108737707
airFoil2D_SST_33.137_-2.653_2.78_5.876_1.0_14.328,0.06866312032,0.04101227258,14.68493161,0.06712403221,0.004599094391,0.01020425744,-0.002305591479,0.009573331103,-0.02958230674,0.01020305511,12.81449699,0.1862319112
airFoil2D_SST_33.16_12.978_4.208_5.336_7.291,0.01043845517,0.01468905491,28.12729511,0.1637396497,1.678128481,0.02568838,1.691982031,0.02908494323,1.678831816,0.02765114233,0.9642799518,0.5645151138
airFoil2D_SST_33.272_14.436_4.837_2.403_9.237,0.01192577303,0.01731612,23.21207767,0.1152408496,1.757851362,0.02678478882,1.809446812,0.03344598413,1.775222182,0.03050182201,1.056430363,0.389343977
airFoil2D_SST_33.312_-4.457_1.296_2.993_5.575,0.159981233,0.07862788668,81.45711923,0.3834299799,-0.2616904974,0.008898950182,-0.3564892709,0.01208389271,-0.3537110686,0.009332218207,13.47302616,0.04387903214
airFoil2D_SST_33.33_14.375_1.036_3.451_12.655,0.02740942358,0.01745524613,41.59726497,0.09840038061,1.472721577,0.02303899452,1.512635708,0.02214539237,1.477641344,0.02493859828,1.080191604,0.3370027542
airFoil2D_SST_33.941_-4.025_1.706_6.295_1.0_12.199,0.1069608954,0.03445448289,25.2776141,0.08382548722,-0.2107943296,0.009777071886,-0.2664744854,0.01069264766,-0.2691526115,0.009948133491,15.41582338,0.08673071861
